iter	RMSE
0	7.475045151
1	7.2261729
2	7.002192529
3	6.799435359
4	6.605539191
5	6.416652581
6	6.245113354
7	6.088363416
8	5.943880055
9	5.809042576
10	5.683923896
11	5.562878124
12	5.458961522
13	5.360138231
14	5.26583418
15	5.177529291
16	5.096247426
17	5.022964239
18	4.9543963
19	4.884664588
20	4.821615674
21	4.765363916
22	4.708552811
23	4.658798766
24	4.610206263
25	4.566838002
26	4.523289476
27	4.481856879
28	4.444215953
29	4.406475186
30	4.371960402
31	4.338882718
32	4.306535257
33	4.275728601
34	4.245325358
35	4.219059642
36	4.193326021
37	4.170048982
38	4.145920744
39	4.12154225
40	4.098430664
41	4.077296537
42	4.057628743
43	4.038733881
44	4.020879789
45	4.003384206
46	3.987813248
47	3.970407886
48	3.953758601
49	3.938787743
50	3.924462608
51	3.911212065
52	3.895982657
53	3.883039245
54	3.871841521
55	3.86071996
56	3.849123352
57	3.839712306
58	3.829605713
59	3.820363229
60	3.809264422
61	3.798361107
62	3.790483933
63	3.779719451
64	3.770724793
65	3.761798639
66	3.755586262
67	3.747430891
68	3.738951658
69	3.732129193
70	3.726617047
71	3.719934167
72	3.714069706
73	3.707414283
74	3.701017702
75	3.692544771
76	3.687079623
77	3.680823137
78	3.675890688
79	3.670925372
80	3.665955084
81	3.65958955
82	3.65518783
83	3.651390935
84	3.647855793
85	3.642867344
86	3.638332565
87	3.632055444
88	3.628427996
89	3.624772526
90	3.620349673
91	3.616801524
92	3.611246409
93	3.608239969
94	3.605748045
95	3.602893916
96	3.598312987
97	3.59495333
98	3.590973004
99	3.587892774
100	3.583152525
101	3.5808093
102	3.577226863
103	3.572394389
104	3.570040578
105	3.568063007
106	3.565499764
107	3.559954109
108	3.557286671
109	3.554457963
110	3.551730023
111	3.549253002
112	3.546891395
113	3.542771926
114	3.539482821
115	3.5341299
116	3.530308545
117	3.527601308
118	3.525327797
119	3.52132232
120	3.519250772
121	3.517053511
122	3.51314858
123	3.511441213
124	3.509788224
125	3.507730041
126	3.503550328
127	3.501825898
128	3.498162085
129	3.495456981
130	3.492117447
131	3.490091104
132	3.487181547
133	3.485388293
134	3.482971241
135	3.481318558
136	3.479117269
137	3.475279555
138	3.472882293
139	3.470847395
140	3.46890522
141	3.46703215
142	3.463048624
143	3.461139863
144	3.459208639
145	3.456762464
146	3.454007476
147	3.45202357
148	3.449837688
149	3.447965287
150	3.445696193
151	3.444254638
152	3.442376739
153	3.440393646
154	3.439009069
155	3.435008549
156	3.433208214
157	3.431460105
158	3.428257108
159	3.426378738
160	3.423865509
161	3.422532466
162	3.420971851
163	3.418787327
164	3.416619252
165	3.415049567
166	3.412815381
167	3.410960349
168	3.40923815
169	3.406712919
170	3.405421565
171	3.403071887
172	3.401294779
173	3.400171642
174	3.398732224
175	3.396406853
176	3.394686859
177	3.3934524
178	3.391551578
179	3.389912291
180	3.388529195
181	3.385910629
182	3.384206762
183	3.383026459
184	3.380325616
185	3.378403923
186	3.376905954
187	3.37506637
188	3.373671081
189	3.371693869
190	3.369613521
191	3.368139601
192	3.36626526
193	3.364260223
194	3.363039683
195	3.361461991
196	3.359805244
197	3.357688317
