iter	Passed	Remaining
0	60	60916
1	64	32071
2	67	22398
3	70	17591
4	74	14794
5	77	12802
6	81	11561
7	84	10488
8	87	9647
9	90	9002
10	93	8449
11	97	8019
12	100	7638
13	103	7314
14	106	7002
15	109	6723
16	111	6468
17	114	6254
18	117	6074
19	120	5912
20	123	5748
21	126	5607
22	129	5498
23	133	5417
24	136	5304
25	138	5198
26	141	5098
27	144	5008
28	147	4925
29	149	4839
30	152	4770
31	155	4697
32	158	4634
33	160	4570
34	163	4500
35	166	4454
36	169	4400
37	171	4350
38	174	4303
39	177	4249
40	179	4199
41	182	4159
42	185	4121
43	187	4082
44	190	4049
45	193	4014
46	196	3979
47	199	3947
48	201	3919
49	204	3890
50	207	3862
51	210	3836
52	213	3811
53	216	3795
54	219	3778
55	223	3760
56	226	3740
57	229	3721
58	232	3706
59	235	3688
60	238	3673
61	241	3659
62	244	3642
63	248	3627
64	251	3612
65	254	3596
66	257	3583
67	260	3569
68	263	3555
69	266	3542
70	269	3529
71	272	3515
72	275	3503
73	278	3489
74	281	3476
75	285	3465
76	288	3453
77	291	3441
78	294	3429
79	297	3417
80	300	3405
81	303	3393
82	306	3382
83	309	3371
84	312	3361
85	315	3352
86	318	3342
87	321	3334
88	324	3325
89	327	3312
90	330	3304
91	333	3295
92	337	3286
93	340	3278
94	343	3268
95	346	3258
96	349	3249
97	352	3240
98	355	3235
99	358	3227
100	361	3221
101	365	3215
102	368	3206
103	370	3195
104	373	3187
105	377	3179
106	379	3171
107	383	3164
108	386	3158
109	389	3151
110	392	3145
111	395	3136
112	398	3129
113	401	3121
114	404	3114
115	407	3107
116	411	3102
117	414	3096
118	417	3090
119	420	3086
120	424	3086
121	428	3082
122	432	3080
123	435	3076
124	439	3073
125	442	3071
126	446	3069
127	450	3065
128	453	3063
129	457	3059
130	460	3057
131	464	3054
132	468	3050
133	471	3045
134	474	3039
135	477	3036
136	481	3033
137	485	3030
138	489	3030
139	493	3031
140	497	3032
141	501	3031
142	505	3031
143	510	3032
144	514	3032
145	518	3031
146	522	3031
147	527	3034
148	532	3041
149	536	3041
150	540	3040
151	544	3038
152	548	3038
153	552	3037
154	557	3036
155	561	3039
156	566	3043
157	572	3052
158	578	3059
159	583	3063
160	588	3067
161	593	3069
162	598	3074
163	603	3074
164	608	3077
165	613	3080
166	618	3084
167	623	3086
168	628	3088
169	633	3093
170	638	3097
171	644	3103
172	649	3105
173	654	3107
174	660	3114
175	666	3120
176	672	3127
177	678	3132
178	684	3137
179	689	3143
180	695	3148
181	701	3154
182	707	3160
183	714	3166
184	719	3169
185	724	3170
186	728	3168
187	732	3165
188	737	3162
189	741	3161
190	745	3158
191	750	3156
192	754	3154
193	758	3152
194	762	3149
195	766	3146
196	771	3145
197	776	3144
198	781	3144
199	785	3143
200	790	3143
201	795	3142
202	800	3142
203	805	3141
204	810	3143
205	816	3146
206	821	3146
207	825	3142
208	829	3140
209	859	3232
210	870	3253
211	875	3253
212	880	3253
213	884	3249
214	889	3249
215	894	3245
216	898	3242
217	903	3242
218	910	3245
219	916	3247
220	921	3246
221	925	3245
222	931	3244
223	936	3243
224	942	3244
225	947	3243
226	952	3242
227	956	3239
228	960	3234
229	965	3231
230	969	3226
231	974	3224
232	978	3221
233	983	3218
234	987	3215
235	992	3213
236	997	3210
237	1002	3208
238	1007	3206
239	1011	3204
240	1017	3203
241	1022	3201
242	1026	3197
243	1030	3192
244	1034	3189
245	1039	3184
246	1043	3180
247	1047	3176
248	1051	3172
249	1056	3170
250	1061	3168
251	1067	3167
252	1071	3164
253	1076	3161
254	1081	3160
255	1086	3157
